pitch,rolldev
46.6022881284,0
47.1022881284,1.7614644852
47.6022881284,2.7912791484
48.1022881284,3.5842272375
48.6022881284,4.2436013967
49.1022881284,4.8145543505
49.6022881284,5.3206672672
50.1022881284,5.7763659891
50.6022881284,6.1916251452
51.1022881284,6.5728110122
51.6022881284,6.9255854083
52.1022881284,7.142
52.6022881284,7.142
53.1022881284,7.142
53.6022881284,7.142
54.1022881284,7.142
54.6022881284,7.142
55.1022881284,8.842755395
55.6022881284,9.0596713957
56.1022881284,9.2661000297
56.6022881284,9.4625367802
57.1022881284,9.6497329089
57.6022881284,9.8284999453
58.1022881284,9.9993684826
58.6022881284,10.043
59.1022881284,10.043
59.6022881284,10.043
60.1022881284,10.6129676633
60.6022881284,10.7508591863
61.1022881284,10.8832241279
61.6022881284,11.0103551742
62.1022881284,11.1325227563
62.6022881284,11.2499770677
63.1022881284,11.362949871
63.6022881284,11.4716561171
64.1022881284,11.576295401
64.6022881284,11.6770532727
65.1022881284,11.7740837803
65.6022881284,11.8674056212
66.1022881284,11.95732793
66.6022881284,12.0439918785
67.1022881284,12.1275293067
67.6022881284,12.2080565047
68.1022881284,12.2854940318
68.6022881284,12.3601549417
69.1022881284,12.4321408686
69.6022881284,12.5015471153
70.1022881284,12.5682542817
70.6022881284,12.6325499532
71.1022881284,12.6945238072
71.6022881284,12.7541713469
72.1022881284,12.8114996893
72.6022881284,12.8667224748
73.1022881284,12.9198917234
73.6022881284,12.9708630842
74.1022881284,13.0199105656
74.6022881284,13.0670857347
75.1022881284,13.1122299128
75.6022881284,13.1555889381
76.1022881284,13.1972198166
76.6022881284,13.2369493222
77.1022881284,13.2750312494
77.6022881284,13.3114774013
78.1022881284,13.3461643485
78.6022881284,13.3793158975
79.1022881284,13.4108820992
79.6022881284,13.4408399172
80.1022881284,13.4693519417
80.6022881284,13.4962992625
81.1022881284,13.521785544
81.6022881284,13.5458904161
82.1022881284,13.568446325
82.6022881284,13.5896736818
83.1022881284,13.6094958161
83.6022881284,13.6279134763
84.1022881284,13.6450544511
84.6022881284,13.6607492469
85.1022881284,13.6738385031
85.6022881284,18.7558072471
86.1022881284,18.7500593166
86.6022881284,18.7487718079
87.1022881284,18.7487718079
87.6022881284,18.7487718079
88.1022881284,18.7487718079
88.6022881284,18.7487718079
89.1022881284,18.7487718079
89.6022881284,18.7487718079
90.1022881284,18.7487718079
90.6022881284,18.7487718079
91.1022881284,18.7487718079
91.6022881284,18.7487718079
92.1022881284,18.7487718079
92.6022881284,18.7487718079
93.1022881284,18.7487718079
93.6022881284,18.7487718079
94.1022881284,18.7487718079
94.6022881284,18.7487718079
95.1022881284,18.7487718079
95.6022881284,18.7487718079
96.1022881284,18.7487718079
96.6022881284,18.7487718079
97.1022881284,18.7487718079
97.6022881284,18.7487718079
98.1022881284,18.7487718079
98.6022881284,18.7487718079
99.1022881284,18.7487718079
99.6022881284,18.7487718079
100.1022881284,18.7487718079
100.6022881284,18.7487718079
101.1022881284,18.7487718079
101.6022881284,18.7487718079
102.1022881284,18.7487718079
102.6022881284,18.7487718079
103.1022881284,18.7487718079
103.6022881284,18.7487718079
104.1022881284,18.7487718079
104.6022881284,18.7487718079
105.1022881284,18.7487718079
105.6022881284,18.7487718079
106.1022881284,18.7487718079
106.6022881284,18.7487718079
107.1022881284,18.7487718079
107.6022881284,18.7487718079
108.1022881284,18.7487718079
108.6022881284,18.7487718079
109.1022881284,18.7487718079
109.6022881284,18.7487718079
110.1022881284,18.7487718079
110.6022881284,18.7487718079
111.1022881284,18.7487718079
111.6022881284,18.7487718079
112.1022881284,18.7487718079
112.6022881284,18.7487718079
113.1022881284,18.7487718079
113.6022881284,18.7487718079
114.1022881284,18.7487718079
114.6022881284,18.7487718079
115.1022881284,18.7487718079
115.6022881284,18.7487718079
116.1022881284,18.7487718079
116.6022881284,18.7487718079
117.1022881284,18.7487718079
117.6022881284,18.7487718079
118.1022881284,18.7487718079
118.6022881284,18.7487718079
119.1022881284,18.7487718079
119.6022881284,18.7487718079
120.1022881284,18.7487718079
120.6022881284,18.7487718079
121.1022881284,18.7487718079
121.6022881284,18.7487718079
122.1022881284,18.7487718079
122.6022881284,18.7487718079
123.1022881284,18.7487718079
123.6022881284,18.7487718079
124.1022881284,18.7487718079
124.6022881284,18.7487718079
125.1022881284,18.7487718079
125.6022881284,18.7487718079
126.1022881284,18.7487718079
126.6022881284,18.7487718079
127.1022881284,18.7487718079
127.6022881284,18.7487718079
128.1022881284,18.7487718079
128.6022881284,18.7487718079
129.1022881284,18.7487718079
129.6022881284,18.7487718079
130.1022881284,18.7487718079
130.6022881284,18.7487718079
131.1022881284,18.7487718079
131.6022881284,18.7487718079
132.1022881284,18.7487718079
132.6022881284,18.7487718079
133.1022881284,18.7487718079
133.6022881284,18.7487718079
134.1022881284,18.7487718079
134.6022881284,18.7487718079
135.1022881284,18.7487718079
135.6022881284,18.7487718079
136.1022881284,18.7487718079
136.6022881284,18.7487718079
137.1022881284,7.334
137.6022881284,7.334
138.1022881284,7.334
138.6022881284,7.334
139.1022881284,7.334
139.6022881284,7.334
140.1022881284,7.775
140.6022881284,7.775
141.1022881284,7.775
141.6022881284,7.775
142.1022881284,7.775
142.6022881284,7.775
143.1022881284,7.775
143.6022881284,7.775
144.1022881284,7.775
144.6022881284,7.775
145.1022881284,8.697
145.6022881284,8.697
146.1022881284,8.697
146.6022881284,8.697
147.1022881284,8.697
147.6022881284,8.697
148.1022881284,8.697
148.6022881284,8.697
149.1022881284,8.697
149.6022881284,8.697
150.1022881284,9.979
150.6022881284,9.979
151.1022881284,9.979
151.6022881284,9.979
152.1022881284,9.979
152.6022881284,9.979
153.1022881284,11.021
153.6022881284,11.021
154.1022881284,11.021
154.6022881284,11.021
155.1022881284,11.021
155.6022881284,11.021
156.1022881284,11.021
156.6022881284,11.021
157.1022881284,12.785
157.6022881284,12.785
158.1022881284,12.785
158.6022881284,12.785
159.1022881284,12.785
159.6022881284,12.785
160.1022881284,14.628
160.6022881284,14.628
161.1022881284,14.628
161.6022881284,14.628
162.1022881284,14.628
162.6022881284,14.628
163.1022881284,17.153
163.6022881284,17.153
164.1022881284,17.153
164.6022881284,17.153
165.1022881284,17.153
165.6022881284,17.153
166.1022881284,18.7487718079
166.6022881284,18.7487718079
167.1022881284,18.7487718079
167.6022881284,18.7487718079
168.1022881284,18.7487718079
168.6022881284,18.7487718079
169.1022881284,18.7487718079
169.6022881284,18.7487718079
170.1022881284,18.7487718079
170.6022881284,19.9987718079
171.1022881284,19.9987718079
171.6022881284,19.9987718079
172.1022881284,19.9987718079
172.6022881284,19.9987718079
173.1022881284,19.9987718079
173.6022881284,19.9987718079
174.1022881284,19.9987718079
174.6022881284,19.9987718079
175.1022881284,19.9987718079
175.6022881284,19.9987718079
176.1022881284,19.9987718079
176.6022881284,19.9987718079
177.1022881284,19.9987718079
177.6022881284,19.9987718079
178.1022881284,19.9987718079
178.6022881284,19.9987718079
179.1022881284,19.9987718079
179.6022881284,19.9987718079
